id,lon,lat,province,city,name,address,brand,category,birth,all_day,wifi,store_view,basketball,self_service,attractions,train,breakfast
19650,113.95449,22.580699,广东省,深圳市,西丽,西丽街道沙河西路与留仙大道交汇处西丽商业文化中心一层,KFC,餐饮,true,true,false,true,true,true,false,false,false
19208,105.902283,34.562623,甘肃省,天水市,天水麦积,麦积区商埠路东42号亚太购物中心一层,KFC,餐饮,true,true,false,true,false,false,false,false,false
18859,126.613466,45.704816,黑龙江省,哈尔滨市,西城汇,南岗区学府路主干道（学府四道街至二一一医院）地下西城汇商场,KFC,餐饮,false,false,false,false,true,true,false,false,true
19205,108.401407,22.810787,广西,南宁市,盛天地,青秀区中越路8号盛天华府B10号楼一层02号、03号、06号商铺,KFC,餐饮,true,true,true,true,false,true,false,false,true
19765,116.770527,23.461326,广东省,汕头市,文祠,文祠西路阜安园3幢1层,KFC,餐饮,true,true,false,false,true,false,false,false,true
19846,94.666918,40.141889,甘肃省,酒泉市,敦煌沙州,敦煌市沙州镇阳关中路北侧、小北街东侧、益旺国际购物中心1层,KFC,餐饮,true,false,false,true,false,false,false,false,false
19172,109.442152,24.329597,广西,柳州市,柳州万达,柳州市东环大道256号万达广场内一层的第1021号商铺、二层 第2021商铺,KFC,餐饮,true,false,false,true,false,false,false,false,false
19821,113.418046,22.67476,广东省,中山市,中山旭日,三角镇结民村（南三大道与福源路交界处）旭日华庭首层,KFC,餐饮,true,true,false,false,true,false,false,false,true
19513,113.807811,22.729227,广东省,深圳市,裕客隆,宝安区沙井街道办沙井路180号裕客隆购物广场首层,KFC,餐饮,true,true,false,false,false,true,false,false,false
19564,114.428417,22.635099,广东省,深圳市,葵涌,葵涌葵民路2号三溪社区中新居民小组综合楼乐兴百货一楼,KFC,餐饮,true,false,false,true,true,true,false,false,true
19353,113.303908,23.221448,广东省,广州市,同泰路,白云区同泰路永泰时代广场一二层,KFC,餐饮,true,true,false,true,true,true,false,false,false
19606,113.15445,23.011585,广东省,佛山市,季华七路,禅城区季华七路鹏瑞利广场首层正门,KFC,餐饮,true,false,false,false,false,false,false,false,false
19686,113.251297,22.819656,广东省,佛山市,顺德客运站,顺德区大良街道大门居委会南国中路与105国道交界处顺德客运总站二楼,KFC,餐饮,false,false,true,false,false,true,false,false,true
19604,113.820992,22.86315,广东省,东莞市,惠莞DT,大岭山镇大塘村地塘岭（虎岗高速管理中心）大岭山北服务站一层,KFC,餐饮,false,true,false,false,false,true,false,false,false
19916,108.960747,34.266451,福建省,霞浦市,霞浦太康,新城区九龙商业街东侧，福宁区F2-01号东方伟业城市广场5#一层21、22、23、24、1F-34、35商铺,KFC,餐饮,false,false,false,false,false,false,false,false,false
19429,114.116727,22.599793,广东省,深圳市,布吉老街,布吉街道布吉路73-83号（单号）时代广场布吉路83号一楼、二楼202,KFC,餐饮,true,true,false,true,false,true,false,false,false
19981,118.591758,24.906244,福建省,泉州市,百源,打锡街中旅商场1楼,KFC,餐饮,true,false,false,true,true,false,false,false,true
19984,118.579472,24.867182,福建省,泉州市,晋江泉安路DT,晋江市池店镇东山村泉安路俊德大厦（长荣加油站附属楼）一层101，二层202,KFC,餐饮,false,false,false,true,false,false,false,false,false
19954,118.437786,24.746438,福建省,泉州市,朴里二,晋江市泉厦高速公路朴里服务区跨线大楼B区二层,KFC,餐饮,false,false,false,false,false,false,false,false,false
19273,113.275011,23.089942,广东省,广州市,上渡路,9号商铺、金骏街20号自编10、11号商铺海珠区上渡路66号自编2号商铺、海珠区上渡路62号自编8号商铺、上渡路64号自编,KFC,餐饮,true,true,true,true,true,true,false,false,true
