CityCode,City,Year,population,gdp
620400,白银市,2004,174.58,1263304
620500,天水市,2004,347.78,1254685
620600,武威市,2004,187.17999,1080216
620700,张掖市,2004,126.46,993456
620800,平凉市,2004,222.92999,963426
620900,酒泉市,2004,92.529999,1222504
621000,庆阳市,2004,256.69,1083062
621100,定西市,2004,296.98999,630590
621200,陇南市,2004,270.92999,633830
630100,西宁市,2004,206.96001,1747354
640100,银川市,2004,137.78999,1889679
640200,石嘴山市,2004,72.620003,893847
640300,吴忠市,2004,126.47,922147
640400,固原市,2004,151.28,358573
640500,中卫市,2004,102.26,505381
650100,乌鲁木齐市,2004,185.96001,4842599
650200,克拉玛依市,2004,30.58,2962020
110000,北京市,2005,1180.7,68863101
120000,天津市,2005,939.31,36976200
130100,石家庄市,2005,927.29999,17867750
130200,唐山市,2005,714.51001,20276374
130300,秦皇岛市,2005,278.64001,4911470
130400,邯郸市,2005,871.42999,11572862
130500,邢台市,2005,675.08002,6807485
130600,保定市,2005,1092.17,10721423
130700,张家口市,2005,450.29001,4157878
130800,承德市,2005,361.28,3602892
130900,沧州市,2005,684.75,11307973
131000,廊坊市,2005,391.57001,6212260
131100,衡水市,2005,417.63,5196937
140100,太原市,2005,340.39001,8931620
140200,大同市,2005,299.48999,3702507
140300,阳泉市,2005,125.88,2002511
140400,长治市,2005,316.42001,3987461
140500,晋城市,2005,211.86,3159994
140600,朔州市,2005,145.67999,1816505
140700,晋中市,2005,306.63,3310171
140800,运城市,2005,488.59,4708299
140900,忻州市,2005,297.89001,1671700
141000,临汾市,2005,412.31,5231628
141100,吕梁市,2005,355.37,3095173
150100,呼和浩特市,2005,213.49001,7436618
150200,包头市,2005,209.32001,8486991
150300,乌海市,2005,43.110001,1256046
150400,赤峰市,2005,445.29999,3475633
150500,通辽市,2005,309.34,3293183
150600,鄂尔多斯市,2005,137.86,5948228
150700,呼伦贝尔市,2005,270,3240831
150800,巴彦淖尔市,2005,175.87,2170292
150900,乌兰察布市,2005,272.51999,2302063
210100,沈阳市,2005,698.57001,20841339
210200,大连市,2005,565.33002,21522328
210300,鞍山市,2005,347.64001,10180120
210400,抚顺市,2005,224.39,3902406
210500,本溪市,2005,156.39999,3432895
210600,丹东市,2005,242.39,3263156
210700,锦州市,2005,308.32001,3819403
210800,营口市,2005,230.53,3795888
210900,阜新市,2005,192.67999,1425943
211000,辽阳市,2005,182.00999,3300613
211100,盘锦市,2005,125.94,4413248
211200,铁岭市,2005,302.54999,2642307
211300,朝阳市,2005,338.73999,2121350
211400,葫芦岛市,2005,273.72,2995243
220100,长春市,2005,731.5,16784691
220200,吉林市,2005,429.45001,6296913
220300,四平市,2005,331.89001,3307059
220400,辽源市,2005,123.37,1370800
220500,通化市,2005,226.31,2336343
220600,白山市,2005,130.3,1604820
220700,松原市,2005,277.45999,3655508
220800,白城市,2005,201.60001,1521856
230100,哈尔滨市,2005,974.84003,18304514
230200,齐齐哈尔市,2005,556.98999,4224396
230300,鸡西市,2005,191.38,2046355
230400,鹤岗市,2005,109.88,1120588
230500,双鸭山市,2005,150.22,1466204
230600,大庆市,2005,264.38,14007195
230700,伊春市,2005,128.78999,1159296
230800,佳木斯市,2005,245.03,2415433
230900,七台河市,2005,88.43,1002149
231000,牡丹江市,2005,266.29999,3028103
231100,黑河市,2005,174.60001,1204960
232300,绥化市,2005,561.78003,3507883
310000,上海市,2005,1360.26,91541800
320100,南京市,2005,595.79999,24111100
320200,无锡市,2005,452.84,28046800
320300,徐州市,2005,925.31,12121500
320400,常州市,2005,351.63,13033600
320500,苏州市,2005,607.31,40265200
320600,南通市,2005,770.85999,14720800
320700,连云港市,2005,472.17999,4559700
320800,淮安市,2005,527.77002,5618100
320900,盐城市,2005,798.66998,10049000
321000,扬州市,2005,456.31,9220200
321100,镇江市,2005,267.60999,8716700
321200,泰州市,2005,502.04999,8222600
321300,宿迁市,2005,524.53998,3759300
330100,杭州市,2005,660.45001,29426519
330200,宁波市,2005,556.70001,24493099
330300,温州市,2005,750.28003,15963530
330400,嘉兴市,2005,334.32999,11596615
330500,湖州市,2005,257.57999,6442499
330600,绍兴市,2005,435.09,14474700
330700,金华市,2005,454.13,10635397
330800,衢州市,2005,245.57001,3291100
330900,舟山市,2005,96.730003,2801592
331000,台州市,2005,559.84998,12517703
331100,丽水市,2005,251.39,3059863
340100,合肥市,2005,455.70001,8535700
340200,芜湖市,2005,226.88,4006500
340300,蚌埠市,2005,349.32999,3113300
340400,淮南市,2005,235.78,2636000
340500,马鞍山市,2005,125.64,3713461
340600,淮北市,2005,210.52,2089900
340700,铜陵市,2005,72.220001,1820500
340800,安庆市,2005,605.54999,4296400
341000,黄山市,2005,146.94,1599782
341100,滁州市,2005,435.62,3280800
341200,阜阳市,2005,932.76001,3246100
341300,宿州市,2005,604.52002,3129800
341400,巢湖市,2005,453.06,3018700
341500,六安市,2005,681,3128200
341600,毫州市,2005,550.14001,2650000
341700,池州市,2005,156.31,1101800
341800,宣城市,2005,273.56,2515300
350100,福州市,2005,614.83002,14763142
350200,厦门市,2005,153.22,10065831
350300,莆田市,2005,304.81,3599087
350400,三明市,2005,268.13,3928434
350500,泉州市,2005,667.65997,16263034
350600,漳州市,2005,457.37,6285310
350700,南平市,2005,305.07001,3480016
350800,龙岩市,2005,286.82999,3856278
350900,宁德市,2005,327.03,3435992
360100,南昌市,2005,475.17001,10077025
360200,景德镇市,2005,150.82001,1930985
360300,萍乡市,2005,179.67,2280989
360400,九江市,2005,466.20001,4289161
360500,新余市,2005,110.72,1773193
360600,鹰潭市,2005,111.15,1235280
360700,赣州市,2005,845.69,5001106
360800,吉安市,2005,464.76001,3031422
360900,宜春市,2005,528.16998,3722066
361000,抚州市,2005,381.31,2620040
361100,上饶市,2005,676,3881089
370100,济南市,2005,597.44,18766071
370200,青岛市,2005,740.90997,26958172
370300,淄博市,2005,416.76999,14309500
370400,枣庄市,2005,367.26999,6333500
